ID,Tanggal,Kategori,Judul,Jumlah,Tipe,Metode Pembayaran
5,2026-05-25T16:54:23.846555,F&B,Beli makan ayam+telur,14000.0,Pengeluaran,Cash
6,2026-05-25T20:47:46.890225,F&B,Kebab,10000.0,Pengeluaran,Cash
7,2026-05-25T20:47:59.608985,F&B,Lauk warjo,7000.0,Pengeluaran,Cash
8,2026-05-26T15:52:05.087011,F&B,Shopeefood,22000.0,Pengeluaran,Shopeepay
10,2026-05-26T17:53:15.850699,Transport,Bensin sepeda motor,50000.0,Pengeluaran,Cash
11,2026-05-28T19:24:23.650719,Transport,Tiket kereta,8000.0,Pengeluaran,Shopeepay
12,2026-05-29T12:32:17.277417,F&B,Kopi Cappuccino Premium,35000.0,Pengeluaran,Cash
13,2026-05-28T12:32:17.277417,Gaji,Gaji Pokok Bulanan,12300000.0,Pemasukan,BCA Savings
14,2026-05-27T12:32:17.277417,Hiburan,Langganan Netflix Premium,186000.0,Pengeluaran,Gopay Wallet
15,2026-05-25T12:32:17.277417,Shopping,Beli Bahan Makanan Mingguan,3664000.0,Pengeluaran,Cash
16,2026-05-29T12:33:11.554741,F&B,Naspad,12000.0,Pengeluaran,Cash
17,2026-05-29T16:21:20.693767,F&B,Kopken,15000.0,Pengeluaran,Shopeepay
18,2026-05-29T20:20:53.521308,F&B,SFC dan bakaran sate,20000.0,Pengeluaran,Cash
